question,chunk_id,doc_id
How do AI agents differ from AI chains in n8n when it comes to keeping track of earlier conversation context?,build/integrate-ai/understand-ai-components/agents-vs-chains#1,build/integrate-ai/understand-ai-components/agents-vs-chains
"What’s the role of a tool in this AI setup, and what can the model use it for?",build/integrate-ai/understand-ai-components/agents-vs-chains#1,build/integrate-ai/understand-ai-components/agents-vs-chains
Why would I choose an agent instead of a chain if I need a continuing conversation with saved context?,build/integrate-ai/understand-ai-components/agents-vs-chains#1,build/integrate-ai/understand-ai-components/agents-vs-chains
"Who is allowed to create custom variables, and on which n8n plans are they available?",build/code-in-n8n/define-custom-variables#0,build/code-in-n8n/define-custom-variables
What’s the difference between a global variable and one tied to a project in n8n?,build/code-in-n8n/define-custom-variables#0,build/code-in-n8n/define-custom-variables
"In which n8n version were project-specific variables introduced, and what did earlier versions support instead?",build/code-in-n8n/define-custom-variables#0,build/code-in-n8n/define-custom-variables
How do I set up the Code node so these JMESPath examples run correctly?,build/work-with-data/handle-special-data-types/query-json-data#2,build/work-with-data/handle-special-data-types/query-json-data
What are the different projection types JMESPath supports for working on a set of items?,build/work-with-data/handle-special-data-types/query-json-data#2,build/work-with-data/handle-special-data-types/query-json-data
"What kind of JSON input is used in the example that demonstrates list, slice, and object projections?",build/work-with-data/handle-special-data-types/query-json-data#2,build/work-with-data/handle-special-data-types/query-json-data
How do I open Chat Hub and start using it with a model?,build/ways-of-building-workflows/chat-hub#1,build/ways-of-building-workflows/chat-hub
What do I need to set up to create a simple personal agent in Chat Hub?,build/ways-of-building-workflows/chat-hub#1,build/ways-of-building-workflows/chat-hub
How can I publish an n8n workflow so it shows up as an agent in Chat Hub?,build/ways-of-building-workflows/chat-hub#1,build/ways-of-building-workflows/chat-hub
How do I link one node to the next in n8n?,build/understand-workflows/workflow-components/connect-nodes-together#0,build/understand-workflows/workflow-components/connect-nodes-together
Where do I drag from and to when I want to connect two nodes?,build/understand-workflows/workflow-components/connect-nodes-together#0,build/understand-workflows/workflow-components/connect-nodes-together
